Name,Address,Type,Description,Image_URL
"North Cove Park","1806 Main St, Lake Stevens, WA 98258","Park","North Cove Park is a waterfront park in downtown Lake Stevens. I would include this because it shows the lake and gives visitors a good first feel for the area.","https://upload.wikimedia.org/wikipedia/commons/3/3f/Placeholder_view_vector.svg"
"The Mill on Lake Stevens","1808 Main St, Lake Stevens, WA 98258","Community","The Mill is a community gathering spot near the lake. I would include it because it feels connected to local events and the small-town side of Lake Stevens.","https://upload.wikimedia.org/wikipedia/commons/3/3f/Placeholder_view_vector.svg"
"Lundeen Park","10020 Lundeen Pkwy, Lake Stevens, WA 98258","Park","Lundeen Park is a place I would show someone who wanted to see the lake in a more relaxed way. It represents the outdoor and family-friendly feeling of Lake Stevens.","https://upload.wikimedia.org/wikipedia/commons/3/3f/Placeholder_view_vector.svg"
"Lake Stevens Library","2211 Grade Rd, Lake Stevens, WA 98258","Cultural","The Lake Stevens Library is a useful community place and adds an educational stop to the map. I like including libraries because they show more than just tourist spots.","https://upload.wikimedia.org/wikipedia/commons/3/3f/Placeholder_view_vector.svg"
"Centennial Trail 20th Street Trailhead","13205 20th St NE, Lake Stevens, WA 98258","Recreation","The Centennial Trail gives the map an outdoor recreation location. It is the kind of place I would include for someone who wanted to walk, bike, or see more of the area.","https://upload.wikimedia.org/wikipedia/commons/3/3f/Placeholder_view_vector.svg"
"Centennial Trail WA 92 Trailhead","3651 127th Ave NE, Lake Stevens, WA 98258","Recreation","This trailhead gives another public access point to the Centennial Trail. I included it because trails are part of how people experience the Lake Stevens area.","https://upload.wikimedia.org/wikipedia/commons/3/3f/Placeholder_view_vector.svg"
"Space Needle","400 Broad St, Seattle, WA 98109","Landmark","The Space Needle is one of the most recognizable places in Seattle. I would include it for a visitor because it immediately gives the map a clear Seattle landmark.","https://upload.wikimedia.org/wikipedia/commons/3/3f/Placeholder_view_vector.svg"
"Pike Place Market","85 Pike St, Seattle, WA 98101","Cultural","Pike Place Market is one of the places I think visitors expect to see in Seattle. It adds food, history, and local character to the map.","https://upload.wikimedia.org/wikipedia/commons/3/3f/Placeholder_view_vector.svg"
"Woodland Park Zoo","5500 Phinney Ave N, Seattle, WA 98103","Recreation","Woodland Park Zoo adds a family-friendly and outdoor location to the map. I included it because it gives visitors something fun to do beyond the downtown area.","https://upload.wikimedia.org/wikipedia/commons/3/3f/Placeholder_view_vector.svg"
"T-Mobile Park","1250 1st Ave S, Seattle, WA 98134","Sports","T-Mobile Park adds a sports location to the map. I included it because sports are something I enjoy, and a Mariners game would be a fun Seattle stop for a visitor.","https://upload.wikimedia.org/wikipedia/commons/3/3f/Placeholder_view_vector.svg"
